0 2.56349 -75 -6 0
50 3.48731 -102 -6 0
100 6.81013 -200 -6 0
150 10.1322 -300 -7 0
200 13.4511 -395 -7 0
250 16.7707 -493 -4 0
300 20.0698 -589 -6 0
350 23.3903 -688 -6 0
400 26.709 -787 -6 0
450 30.0286 -885 -4 0
500 33.3502 -982 -6 0
550 36.6676 -1080 -7 0
600 39.9671 -1176 -4 0
650 43.2874 -1275 -4 0
700 46.6054 -1372 -7 0
750 49.9231 -1472 -6 0
800 53.2443 -1568 -6 0
850 56.5625 -1667 -7 0
900 59.8595 -1763 -7 0
950 63.1792 -1862 -6 0
1000 66.4976 -1959 -7 0
1050 69.8153 -2058 -7 0
1100 73.1311 -2156 -6 0
1150 76.4501 -2253 -7 0
1200 79.7463 -2352 -7 0
1250 83.0651 -2451 -6 0
1300 86.3805 -2547 -6 0
1350 89.6971 -2647 -6 0
1400 93.0145 -2744 -6 0
1450 96.3292 -2840 -6 0
1500 99.6248 -2939 -7 0
1550 102.942 -3037 -6 0
1600 106.255 -3135 -7 0
1650 109.566 -3236 -6 0
1700 112.881 -3332 -7 0
1750 116.195 -3428 -6 0
1800 119.49 -3529 -6 0
1850 122.803 -3626 -4 0
1900 126.119 -3724 -6 0
1950 129.431 -3822 -7 0
2000 132.745 -3919 -4 0
2050 136.059 -4019 -6 0
2100 139.352 -4117 -6 0
2150 142.662 -4216 -6 0
2200 145.974 -4311 -6 0
2250 149.288 -4410 -6 0
2300 152.601 -4510 -6 0
2350 155.907 -4610 -7 0
2400 159.2 -4704 -6 0
2450 162.512 -4805 -6 0
2500 165.826 -4902 -6 0
2550 169.134 -5000 -6 0
2600 172.44 -5000 -6 0
2650 175.73 -5000 -6 0
2700 179.025 -5000 -7 0
2750 182.21 -5000 -6 0
2800 184.907 -5000 -4 0
2850 186.517 -5000 -6 0
2900 187.169 -5000 -7 0
2950 187.403 -5000 -6 0
3000 187.498 -5000 -7 0
3050 187.527 -5000 -4 0
3100 187.554 -5000 -4 0
3150 187.566 -5000 -6 0
3200 187.579 -5000 -6 0
3250 187.578 -5000 -4 0
3300 187.602 -5000 -4 0
3350 187.61 -5000 -6 0
3400 187.613 -5000 -4 0
3450 187.62 -5000 -6 0
3500 187.618 -5000 -4 0
3550 187.615 -5000 -6 0
3600 187.609 -5000 -7 0
3650 187.596 -5000 -4 0
3700 187.585 -5000 -6 0
3750 187.589 -5000 -6 0
3800 187.58 -5000 -7 0
3850 187.581 -5000 -4 0
3900 187.571 -5000 -6 0
3950 187.581 -5000 -7 0
