0 2.05768 -58 47 0
50 3.00597 -89 47 0
100 6.28844 -185 45 0
150 9.5621 -281 42 0
200 12.8431 -379 41 0
250 16.1243 -476 39 0
300 19.3848 -573 36 0
350 22.6686 -672 34 0
400 25.9501 -769 32 0
450 29.2281 -867 31 0
500 32.5135 -964 29 0
550 35.7954 -1062 26 0
600 39.0593 -1158 25 0
650 42.344 -1254 20 0
700 45.6276 -1352 20 0
750 48.9141 -1450 19 0
800 52.2001 -1547 15 0
850 55.4856 -1645 14 0
900 58.7508 -1743 10 0
950 62.0393 -1840 8 0
1000 65.3262 -1938 8 0
1050 68.6144 -2034 6 0
1100 71.9016 -2135 4 0
1150 75.1901 -2230 1 0
1200 78.4577 -2327 0 0
1250 81.7477 -2424 -1 0
1300 85.0365 -2524 -4 0
1350 88.3247 -2619 -6 0
1400 91.6146 -2718 -7 0
1450 94.9039 -2816 -10 0
1500 98.1734 -2913 -12 0
1550 101.464 -3010 -14 0
1600 104.636 -3107 -15 0
1650 107.921 -3205 -19 0
1700 111.21 -3304 -20 0
1750 114.506 -3403 -23 0
1800 117.776 -3498 -24 0
1850 121.066 -3594 -26 0
1900 124.36 -3695 -29 0
1950 127.653 -3793 -30 0
2000 130.945 -3890 -32 0
2050 134.243 -3989 -35 0
2100 137.506 -4084 -35 0
2150 140.801 -4183 -40 0
2200 144.099 -4282 -40 0
2250 147.393 -4379 -42 0
2300 150.688 -4477 -46 0
2350 153.981 -4576 -47 0
2400 157.257 -4672 -50 0
2450 160.55 -4770 -51 0
2500 163.851 -4868 -53 0
2550 167.148 -4967 -56 0
2600 170.44 -5000 -59 0
2650 173.716 -5000 -61 0
2700 177.018 -5000 -62 0
2750 180.315 -5000 -64 0
2800 183.609 -5000 -65 0
2850 186.908 -5000 -69 0
2900 190.205 -5000 -70 0
2950 193.481 -5000 -72 0
3000 196.785 -5000 -74 0
3050 200.083 -5000 -75 0
3100 203.382 -5000 -76 0
3150 206.683 -5000 -80 0
3200 209.983 -5000 -83 0
3250 213.258 -5000 -84 0
3300 216.559 -5000 -86 0
3350 219.857 -5000 -87 0
3400 223.158 -5000 -89 0
3450 226.46 -5000 -92 0
3500 229.76 -5000 -93 0
3550 233.038 -5000 -97 0
3600 236.339 -5000 -98 0
3650 239.641 -5000 -100 0
3700 242.944 -5000 -102 0
3750 246.247 -5000 -104 0
3800 249.549 -5000 -106 0
3850 252.835 -5000 -108 0
3900 256.139 -5000 -109 0
3950 259.438 -5000 -112 0
