0 2.65248 -93 -8 0
50 3.48461 -120 -4 0
100 6.78147 -217 -6 0
150 10.0714 -314 -4 0
200 13.3571 -411 -6 0
250 16.6442 -509 -7 0
300 19.9114 -604 -6 0
350 23.2009 -703 -7 0
400 26.4872 -798 -7 0
450 29.7743 -895 -7 0
500 33.0637 -994 -7 0
550 36.3496 -1093 -7 0
600 39.6166 -1187 -6 0
650 42.9052 -1286 -7 0
700 46.1945 -1381 -7 0
750 49.4792 -1480 -6 0
800 52.768 -1575 -6 0
850 56.0546 -1674 -4 0
900 59.3209 -1772 -7 0
950 62.6114 -1870 -7 0
1000 65.897 -1965 -7 0
1050 69.1837 -2060 -6 0
1100 72.4709 -2160 -6 0
1150 75.7586 -2258 -7 0
1200 79.0246 -2353 -7 0
1250 82.3124 -2451 -4 0
1300 85.5981 -2551 -6 0
1350 88.8837 -2646 -7 0
1400 92.1704 -2742 -7 0
1450 95.4563 -2841 -6 0
1500 98.7225 -2939 -6 0
1550 102.008 -3035 -4 0
1600 105.308 -3133 -7 0
1650 108.591 -3231 -7 0
1700 111.876 -3327 -8 0
1750 115.163 -3427 -7 0
1800 118.426 -3525 -7 0
1850 121.714 -3619 -7 0
1900 124.997 -3718 -7 0
1950 128.281 -3817 -7 0
2000 131.565 -3914 -6 0
2050 134.853 -4011 -4 0
2100 138.114 -4110 -7 0
2150 141.399 -4206 -8 0
2200 144.684 -4304 -7 0
2250 147.969 -4401 -6 0
2300 151.249 -4500 -7 0
2350 154.532 -4598 -6 0
2400 157.795 -4694 -7 0
2450 161.074 -4793 -7 0
2500 164.359 -4887 -7 0
2550 167.643 -4987 -7 0
2600 170.923 -5000 -6 0
2650 174.188 -5000 -7 0
2700 177.47 -5000 -8 0
2750 180.749 -5000 -6 0
2800 184.035 -5000 -8 0
2850 187.316 -5000 -7 0
2900 190.593 -5000 -6 0
2950 193.85 -5000 -6 0
3000 197.133 -5000 -4 0
3050 200.415 -5000 -6 0
3100 203.69 -5000 -7 0
3150 206.973 -5000 -8 0
3200 210.248 -5000 -7 0
3250 213.508 -5000 -8 0
3300 216.788 -5000 -7 0
3350 220.063 -5000 -4 0
3400 223.336 -5000 -7 0
3450 226.617 -5000 -6 0
3500 229.89 -5000 -7 0
3550 233.15 -5000 -6 0
3600 236.426 -5000 -6 0
3650 239.704 -5000 -7 0
3700 242.981 -5000 -7 0
3750 246.259 -5000 -6 0
3800 249.53 -5000 -8 0
3850 252.782 -5000 -6 0
3900 256.058 -5000 -7 0
3950 259.327 -5000 -7 0
