,Group,ASIC,ccg,gate,sw,clear,5,12,13,14,15,1,7
0,DAC_VOLTAGE_GAIN,10014.8461538462,-41591.7596153846,-41570.5961538462,-43049.6538461538,55694.25,20024.5384615385,21969.4615384615,-233006.692307692,-21476.7307692308,43868.1153846154,10014.8461538462,10014.8461538462
1,DAC_VOLTAGE_GAIN_DIFF,0.000355864804481,0.000283455533506,0.000369916047609,0.000350184095024,0.000503888916382,0.00033391821284,0.000599786783903,0.000616445655851,0.001037834067681,0.000835827876754,0.000355864804481,0.000355864804481
2,DAC_VOLTAGE_OFFSET,168.021978021978,641443.576923077,640925.932692308,-784.076923076923,859.846153846154,307.230769230769,321.384615384615,-4464.53846153846,-332.653846153846,641.615384615385,168.021978021978,168.021978021978
3,DAC_VOLTAGE_OFFSET_DIFF,44.6815294882137,304.119589721003,259.492265499937,122.797338694829,117.146749620916,48.8705571990615,83.5151192774637,991.269746365323,105.210756362826,147.827882485804,44.6815294882137,44.6815294882137
4,ADC_U_LOAD_GAIN,4641.96703296703,2756.625,2755.86538461539,2555.69230769231,1480.38461538462,4642.84615384615,2607.34615384615,432.038461538462,2605.61538461538,1818.53846153846,4641.96703296703,4641.96703296703
5,ADC_U_LOAD_GAIN_DIFF,0.001047826292538,0.00053520464198,0.000969306328007,0.001190137185153,0.001133071576376,0.000472989128804,0.000462962777551,0.002442877723495,0.00051133670108,0.000595205248487,0.001047826292538,0.001047826292538
6,ADC_U_LOAD_OFFSET,-800.087912087912,-523.798076923077,-532.307692307692,-413.173076923077,-570.307692307692,-762.538461538462,-573.653846153846,565.153846153846,-473.5,-588.653846153846,-800.087912087912,-800.087912087912
7,ADC_U_LOAD_OFFSET_DIFF,186.953402453786,153.166599831667,216.570963539715,156.513912032647,166.672472285472,166.110767207453,257.383422798285,616.840067310039,254.614225537682,243.304643211518,186.953402453786,186.953402453786
8,ADC_U_REGULATOR_GAIN,9992.71978021978,1888.48076923077,3046.65384615385,2554.82692307692,1480.03846153846,4574.76923076923,2592.42307692308,432.307692307692,2590.42307692308,1807.5,9992.71978021978,9992.71978021978
9,ADC_U_REGULATOR_GAIN_DIFF,0.00055305402647,0.000578115006048,0.000989691445723,0.001195929712285,0.001184897805689,0.000559955132007,0.000430247911814,0.003441117367583,0.00083053651889,0.000755624253838,0.00055305402647,0.00055305402647
10,ADC_U_REGULATOR_OFFSET,-807.065934065934,-534.432692307692,-555.423076923077,-493.153846153846,-620.673076923077,-804.653846153846,-565.423076923077,82.5384615384615,-469.615384615385,-584.269230769231,-807.065934065934,-807.065934065934
11,ADC_U_REGULATOR_OFFSET_DIFF,165.399038106469,152.26878843418,220.764741310557,155.307930429962,164.579384767754,193.193195912138,252.085787149613,212.770774231011,244.00426807791,263.923875634959,165.399038106469,165.399038106469
12,ADC_I_MON_GAIN,-9991.60897435898,-296317.903846154,-294982.788461538,-295112.192307692,-294926.480769231,-149858.346153846,-296541.846153846,-1189.76470588235,-296471.346153846,-296410.740740741,-150117.884615385,-9991.60897435898
13,ADC_I_MON_GAIN_DIFF,0.004421892169678,0.002414853027802,0.001872862761629,0.003016829357562,0.003271624175159,0.002641202774007,0.001802792288587,0.007951678843157,0.002185418373941,0.001744871431855,0.004001884385737,0.004421892169678
14,ADC_I_MON_OFFSET,-496.570512820513,-315.894230769231,-475.326923076923,-292.096153846154,-413,8526.15384615385,-685.807692307692,4695.20588235294,121.653846153846,-463.135802469136,3445.23076923077,-496.570512820513
15,ADC_I_MON_OFFSET_DIFF,367.947392285202,813.353089640812,886.188472338654,1201.73367169166,1383.49772733404,1892.70117703829,706.693711220986,2309.5043494147,732.213028181726,945.555650255726,412.116890409683,367.947392285202
16,DAC_CURRENT_GAIN,-10040.3692307692,658.144230769231,661.317307692308,660.673076923077,-672.153846153846,-668.653846153846,-670.653846153846,96538.1343283582,667.5,-669.576923076923,-668.653846153846,9885.92307692308
17,DAC_CURRENT_GAIN_DIFF,0.006375107137719,0.0044618904032,0.004652513735566,0.005224108052212,0.005622851222952,0.0049417743132,0.004256617425936,0.007845554358915,0.004973067673252,0.006551611424678,0.004636408980474,0.006924139634261
18,DAC_CURRENT_OFFSET,-91.2307692307692,-9.51923076923077,2.25,2,-16.0769230769231,63,1.53846153846154,111821.940298507,-12.4230769230769,6.46153846153846,59.6923076923077,244
19,DAC_CURRENT_OFFSET_DIFF,611.399989160584,35.9039800582563,31.3364956805713,38.6124730744235,33.3725164180199,28.7522574364572,35.46203904202,24938.1020528114,34.4854184089484,27.6408710332958,33.8330394173065,444.98608448424
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,With 5 sigma,,,,,,,,,,,,
,Group,ASIC,ccg,gate,sw,clear,5,12,13,14,15,1,7
0,DAC_VOLTAGE_GAIN,10014.8461538462,-41591.7596153846,-41570.5961538462,-43049.6538461538,55694.25,20024.5384615385,21969.4615384615,-233006.692307692,-21476.7307692308,43868.1153846154,10014.8461538462,10014.8461538462
1,DAC_VOLTAGE_GAIN_DIFF,0.001779324022406,0.00141727766753,0.001849580238043,0.001750920475119,0.00251944458191,0.001669591064202,0.002998933919513,0.003082228279253,0.005189170338404,0.004179139383768,0.001779324022406,0.001779324022406
2,DAC_VOLTAGE_OFFSET,168.021978021978,641443.576923077,640925.932692308,-784.076923076923,859.846153846154,307.230769230769,321.384615384615,-4464.53846153846,-332.653846153846,641.615384615385,168.021978021978,168.021978021978
