'ADC_I_MON_GAIN_2',12.0,14.0,26.0,19.0,21.0,24.0,26.0,25.0,23.0,24.0,27.0,27.0,21.0,24.0,19.0,23.0,23.0,21.0,22.0,22.0
'ADC_I_MON_OFFSET_2',93.0,106.0,193.0,148.0,166.0,188.0,197.0,197.0,176.0,191.0,211.0,211.0,153.0,188.0,150.0,176.0,176.0,161.0,172.0,170.0
'DAC_CURRENT_GAIN_2',4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
'DAC_CURRENT_OFFSET_2',33.0,33.0,33.0,34.0,33.0,33.0,33.0,33.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
'DAC_VOLTAGE_GAIN_3',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'DAC_VOLTAGE_OFFSET_3',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
'ADC_U_LOAD_GAIN_3',2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
'ADC_U_LOAD_OFFSET_3',17.0,14.0,16.0,16.0,13.0,15.0,15.0,13.0,16.0,15.0,16.0,16.0,17.0,14.0,16.0,16.0,16.0,13.0,12.0,16.0
'ADC_U_REGULATOR_GAIN_3',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
'ADC_U_REGULATOR_OFFSET_3',19.0,20.0,16.0,17.0,17.0,19.0,17.0,16.0,17.0,17.0,16.0,16.0,20.0,15.0,17.0,19.0,19.0,19.0,17.0,18.0
'ADC_I_MON_GAIN_3',4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
'ADC_I_MON_OFFSET_3',30.0,26.0,28.0,30.0,26.0,26.0,27.0,28.0,29.0,29.0,26.0,26.0,28.0,23.0,29.0,28.0,28.0,32.0,28.0,27.0
'DAC_CURRENT_GAIN_3',3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
