'Date',2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25,2022-11-25
'ADC_U_REGULATOR_GAIN_2',9997.0,9996.0,9992.0,9994.0,9995.0,9995.0,9997.0,9994.0,9996.0,10000.0,9993.0,9995.0,9996.0,9996.0,9996.0,9993.0,9996.0,9994.0,9998.0,9996.0
'ADC_U_REGULATOR_OFFSET_2',-681.0,-700.0,-653.0,-650.0,-662.0,-672.0,-696.0,-663.0,-683.0,-716.0,-642.0,-671.0,-682.0,-676.0,-658.0,-643.0,-684.0,-667.0,-698.0,-687.0
'ADC_I_MON_GAIN_2',-10084.0,-9986.0,-9970.0,-10015.0,-10027.0,-9984.0,-9991.0,-9993.0,-10004.0,-9965.0,-9912.0,-10003.0,-9947.0,-10053.0,-10063.0,-9953.0,-9985.0,-10106.0,-10007.0,-9971.0
'ADC_I_MON_OFFSET_2',-233.0,128.0,165.0,83.0,8.0,62.0,28.0,-114.0,370.0,426.0,760.0,73.0,374.0,-405.0,-308.0,172.0,-21.0,-1066.0,-99.0,-18.0
'DAC_CURRENT_GAIN_2',-10055.0,-10055.0,-10055.0,-10057.0,-10057.0,-10057.0,-10058.0,-10058.0,-10058.0,-10058.0,-10058.0,-10058.0,-10058.0,-10057.0,-10057.0,-10057.0,-10058.0,-10058.0,-10055.0,-10054.0
'DAC_CURRENT_OFFSET_2',-308.0,-302.0,-301.0,-294.0,-293.0,-294.0,-292.0,-292.0,-291.0,-293.0,-293.0,-292.0,-293.0,-294.0,-292.0,-292.0,-292.0,-289.0,-298.0,-300.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
'DAC_VOLTAGE_GAIN_3',10016.0,10015.0,10016.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10017.0,10016.0,10016.0
'DAC_VOLTAGE_OFFSET_3',253.0,245.0,244.0,213.0,214.0,221.0,218.0,218.0,218.0,227.0,223.0,223.0,225.0,226.0,225.0,225.0,224.0,226.0,251.0,250.0
'ADC_U_LOAD_GAIN_3',4643.0,4648.0,4644.0,4642.0,4642.0,4643.0,4641.0,4637.0,4641.0,4646.0,4644.0,4646.0,4643.0,4647.0,4643.0,4647.0,4641.0,4646.0,4641.0,4642.0
'ADC_U_LOAD_OFFSET_3',-706.0,-753.0,-729.0,-703.0,-706.0,-709.0,-692.0,-662.0,-691.0,-722.0,-726.0,-747.0,-706.0,-753.0,-707.0,-740.0,-701.0,-734.0,-696.0,-708.0
'ADC_U_REGULATOR_GAIN_3',9997.0,9995.0,9994.0,9998.0,9992.0,9995.0,9995.0,9992.0,9997.0,9996.0,9995.0,9995.0,10001.0,9996.0,9989.0,9993.0,10000.0,9996.0,9996.0,9997.0
'ADC_U_REGULATOR_OFFSET_3',-784.0,-752.0,-744.0,-732.0,-715.0,-751.0,-740.0,-724.0,-732.0,-768.0,-731.0,-739.0,-792.0,-768.0,-691.0,-725.0,-777.0,-750.0,-769.0,-768.0
'ADC_I_MON_GAIN_3',-9925.0,-9929.0,-9932.0,-9928.0,-9927.0,-9933.0,-9928.0,-9928.0,-9923.0,-9927.0,-9932.0,-9920.0,-9921.0,-9931.0,-9933.0,-9929.0,-9927.0,-9933.0,-9934.0,-9929.0
'ADC_I_MON_OFFSET_3',-482.0,-555.0,-536.0,-524.0,-506.0,-620.0,-562.0,-544.0,-518.0,-553.0,-563.0,-486.0,-519.0,-574.0,-570.0,-569.0,-540.0,-600.0,-590.0,-523.0
'DAC_CURRENT_GAIN_3',-10127.0,-10129.0,-10128.0,-10130.0,-10131.0,-10131.0,-10132.0,-10131.0,-10132.0,-10131.0,-10131.0,-10131.0,-10131.0,-10131.0,-10131.0,-10131.0,-10131.0,-10132.0,-10126.0,-10126.0
'DAC_CURRENT_OFFSET_3',-1301.0,-1287.0,-1288.0,-1281.0,-1280.0,-1280.0,-1279.0,-1279.0,-1278.0,-1279.0,-1279.0,-1279.0,-1279.0,-1280.0,-1280.0,-1278.0,-1278.0,-1276.0,-1286.0,-1287.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
'DAC_VOLTAGE_GAIN_4',10014.0,10015.0,10015.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10016.0,10015.0,10015.0
'DAC_VOLTAGE_OFFSET_4',123.0,115.0,114.0,81.0,82.0,94.0,93.0,87.0,89.0,98.0,96.0,96.0,98.0,97.0,96.0,96.0,96.0,100.0,125.0,123.0
'ADC_U_LOAD_GAIN_4',4639.0,4635.0,4640.0,4638.0,4635.0,4636.0,4639.0,4637.0,4638.0,4633.0,4636.0,4635.0,4634.0,4633.0,4640.0,4635.0,4638.0,4635.0,4632.0,4642.0
'ADC_U_LOAD_OFFSET_4',-791.0,-763.0,-805.0,-784.0,-759.0,-775.0,-776.0,-768.0,-786.0,-743.0,-773.0,-738.0,-765.0,-742.0,-780.0,-743.0,-790.0,-789.0,-735.0,-833.0
'ADC_U_REGULATOR_GAIN_4',9989.0,9986.0,9984.0,9986.0,9982.0,9986.0,9983.0,9985.0,9986.0,9985.0,9985.0,9989.0,9986.0,9985.0,9981.0,9985.0,9980.0,9981.0,9990.0,9988.0
'ADC_U_REGULATOR_OFFSET_4',-880.0,-843.0,-852.0,-841.0,-804.0,-849.0,-807.0,-839.0,-844.0,-852.0,-837.0,-868.0,-852.0,-853.0,-810.0,-832.0,-801.0,-803.0,-908.0,-891.0
'ADC_I_MON_GAIN_4',-10018.0,-10018.0,-10021.0,-10019.0,-10014.0,-10023.0,-10014.0,-10016.0,-10017.0,-10020.0,-10020.0,-10017.0,-10018.0,-10016.0,-10017.0,-10025.0,-10020.0,-10019.0,-10023.0,-10022.0
'ADC_I_MON_OFFSET_4',-603.0,-683.0,-664.0,-677.0,-636.0,-719.0,-655.0,-682.0,-649.0,-675.0,-680.0,-664.0,-657.0,-649.0,-663.0,-713.0,-688.0,-702.0,-732.0,-681.0
'DAC_CURRENT_GAIN_4',-10056.0,-10056.0,-10055.0,-10056.0,-10056.0,-10057.0,-10057.0,-10056.0,-10056.0,-10056.0,-10056.0,-10055.0,-10055.0,-10055.0,-10054.0,-10055.0,-10055.0,-10057.0,-10057.0,-10056.0
