'ADC_I_MON_GAIN_2',47.0,46.0,43.0,45.0,42.0,43.0,31.0,43.0,40.0,39.0,44.0,45.0,41.0,45.0,49.0,35.0,39.0,39.0,46.0,45.0
'ADC_I_MON_OFFSET_2',380.0,364.0,339.0,352.0,330.0,342.0,248.0,343.0,319.0,307.0,348.0,349.0,322.0,359.0,383.0,280.0,311.0,306.0,361.0,351.0
'DAC_CURRENT_GAIN_2',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_CURRENT_OFFSET_2',7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
'DAC_VOLTAGE_GAIN_3',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'DAC_VOLTAGE_OFFSET_3',2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
'ADC_U_LOAD_GAIN_3',2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
'ADC_U_LOAD_OFFSET_3',16.0,12.0,14.0,17.0,15.0,14.0,14.0,18.0,16.0,13.0,15.0,17.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0
'ADC_U_REGULATOR_GAIN_3',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
'ADC_U_REGULATOR_OFFSET_3',15.0,14.0,16.0,19.0,15.0,15.0,17.0,18.0,16.0,15.0,15.0,14.0,15.0,15.0,17.0,13.0,17.0,14.0,18.0,17.0
'ADC_I_MON_GAIN_3',4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0
'ADC_I_MON_OFFSET_3',28.0,22.0,20.0,25.0,23.0,25.0,22.0,24.0,20.0,19.0,26.0,23.0,20.0,22.0,20.0,18.0,26.0,20.0,21.0,22.0
'DAC_CURRENT_GAIN_3',4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
'DAC_CURRENT_OFFSET_3',32.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
'DAC_VOLTAGE_GAIN_4',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_4',7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
'ADC_U_LOAD_GAIN_4',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
'ADC_U_LOAD_OFFSET_4',17.0,17.0,18.0,19.0,18.0,17.0,16.0,18.0,22.0,18.0,18.0,16.0,21.0,18.0,14.0,17.0,16.0,19.0,19.0,20.0
'ADC_U_REGULATOR_GAIN_4',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
'ADC_U_REGULATOR_OFFSET_4',18.0,17.0,18.0,16.0,17.0,20.0,18.0,17.0,18.0,16.0,17.0,18.0,18.0,18.0,17.0,16.0,17.0,16.0,15.0,18.0
'ADC_I_MON_GAIN_4',4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0
'ADC_I_MON_OFFSET_4',27.0,26.0,27.0,23.0,24.0,27.0,24.0,21.0,22.0,26.0,21.0,24.0,23.0,21.0,24.0,21.0,27.0,25.0,23.0,19.0
'DAC_CURRENT_GAIN_4',2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
'DAC_CURRENT_OFFSET_4',20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
'DAC_VOLTAGE_GAIN_5',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_5',13.0,14.0,14.0,24.0,23.0,20.0,20.0,21.0,21.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,19.0,17.0,13.0,13.0
