0 0 -3 1193 1 1203.37
200 -200 197 1193 1 1203.38
400 -400 396 1195 1 1203.4
600 -600 598 1192 1 1203.42
800 -800 797 1192 1 1203.44
1000 -1000 993 1195 1 1203.45
1200 -1200 1196 1192 1 1203.47
1400 -1400 1396 1195 1 1203.49
1600 -1400 1396 1193 1 1203.49
1800 -1400 1396 1192 1 1203.48
