0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'DAC_VOLTAGE_GAIN_0',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
'DAC_VOLTAGE_OFFSET_0',7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
'ADC_U_LOAD_GAIN_0',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
'ADC_U_LOAD_OFFSET_0',15.0,15.0,17.0,13.0,14.0,15.0,18.0,16.0,15.0,15.0,14.0,16.0,13.0,18.0,14.0,15.0,13.0,16.0,15.0,15.0
'ADC_U_REGULATOR_GAIN_0',1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
'ADC_U_REGULATOR_OFFSET_0',17.0,17.0,15.0,18.0,15.0,17.0,13.0,14.0,15.0,15.0,15.0,15.0,19.0,13.0,13.0,19.0,18.0,16.0,15.0,15.0
'ADC_I_MON_GAIN_0',34.0,30.0,46.0,31.0,42.0,38.0,41.0,41.0,42.0,42.0,34.0,34.0,25.0,36.0,24.0,31.0,33.0,36.0,33.0,30.0
'ADC_I_MON_OFFSET_0',204.0,172.0,269.0,176.0,238.0,221.0,238.0,238.0,242.0,242.0,193.0,197.0,148.0,198.0,136.0,179.0,183.0,204.0,192.0,170.0
'DAC_CURRENT_GAIN_0',3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
'DAC_CURRENT_OFFSET_0',28.0,28.0,28.0,28.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
